2021-09-04 13:32:09 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2021-09-04 13:32:09 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2021-09-04 13:32:09 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 20 (min=1)
2021-09-04 13:32:09 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 5.5.27
      major : 5
      minor : 5
2021-09-04 13:32:09 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.19 (Revision: a0ca826f5cdf51a98356fdfb1bf251eb042f80bf)
      major : 8
      minor : 0
2021-09-04 13:32:09 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-09-04 13:32:09 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-09-04 13:32:09 DEBUG IdentifierHelperBuilder:113 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2021-09-04 13:32:09 DEBUG IdentifierHelperBuilder:187 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
2021-09-04 13:32:09 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-09-04 13:32:09 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@6ed06f69] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@3015db78]
2021-09-04 13:32:10 DEBUG AnnotationBinder:557 - Binding entity from annotated class: models.Client
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-09-04 13:32:10 DEBUG EntityBinder:430 - Import with entity name Client
2021-09-04 13:32:10 DEBUG EntityBinder:873 - Bind entity models.Client on table Client
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=id, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2021-09-04 13:32:10 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [models.Client:id]
2021-09-04 13:32:10 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property id
2021-09-04 13:32:10 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=name, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG PropertyBinder:175 - MetadataSourceProcessor property name with lazy=false
2021-09-04 13:32:10 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [models.Client:name]
2021-09-04 13:32:10 DEBUG SimpleValueBinder:411 - building SimpleValue for name
2021-09-04 13:32:10 DEBUG PropertyBinder:266 - Building property name
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='client'}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=reserveDates, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-09-04 13:32:10 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Client), mappingColumn=reserveDates_KEY, insertable=true, updatable=true, unique=false}
